type,value,category,source,first_seen,last_seen,hits,detail
ip,46.98.61.45,ssh-probe,ssh,2026-09-10,2026-09-10,2,ssh-probe
ip,47.162.186.19,ssh-probe,ssh,2026-09-13,2026-09-13,2,ssh-probe
ip,47.202.55.6,ssh-probe,ssh,2026-09-12,2026-09-12,2,ssh-probe
ip,47.254.231.12,http-scan,ssh,2026-09-23,2026-09-23,2,http-scan
ip,47.65.176.214,ssh-probe,ssh,2026-09-24,2026-09-24,2,ssh-probe
ip,5.29.20.120,ssh-probe,ssh,2026-09-13,2026-09-13,2,ssh-probe
ip,5.3.249.231,ssh-probe,ssh,2026-09-10,2026-09-10,2,ssh-probe
ip,5.58.40.183,ssh-probe,ssh,2026-09-23,2026-09-23,2,ssh-probe
ip,50.42.73.47,ssh-probe,ssh,2026-09-14,2026-09-14,2,ssh-probe
ip,54.163.206.20,ssh-probe,ssh,2026-09-24,2026-09-24,2,ssh-probe
ip,62.217.141.95,ssh-probe,ssh,2026-09-10,2026-09-10,2,ssh-probe
ip,62.60.130.242,ssh-probe,ssh,2026-09-24,2026-09-24,2,ssh-probe
ip,62.60.130.253,ssh-probe,ssh,2026-09-14,2026-09-14,2,ssh-probe
ip,64.62.197.43,ssh-probe,ssh,2026-09-24,2026-09-24,2,ssh-probe
ip,64.89.160.135,ssh-probe,ssh,2026-09-24,2026-09-24,2,ssh-probe
ip,65.49.1.108,ssh-probe,ssh,2026-09-24,2026-09-24,2,ssh-probe
ip,65.49.1.222,ssh-probe,ssh,2026-09-24,2026-09-24,2,ssh-probe
ip,66.132.172.204,http-scan,ssh,2026-09-24,2026-09-24,2,http-scan
ip,66.132.172.212,ssh-probe,ssh,2026-09-24,2026-09-24,2,ssh-probe
ip,66.132.186.167,ssh-probe,ssh,2026-09-24,2026-09-24,2,ssh-probe
ip,66.132.195.100,ssh-probe,ssh,2026-09-24,2026-09-24,2,ssh-probe
ip,69.73.94.213,ssh-probe,ssh,2026-09-10,2026-09-10,2,ssh-probe
ip,71.192.235.101,ssh-probe,ssh,2026-09-22,2026-09-22,2,ssh-probe
ip,71.201.49.227,ssh-probe,ssh,2026-09-24,2026-09-24,2,ssh-probe
ip,71.206.45.49,ssh-probe,ssh,2026-09-13,2026-09-13,2,ssh-probe
ip,71.73.105.172,ssh-probe,ssh,2026-09-23,2026-09-23,2,ssh-probe
ip,73.1.207.99,ssh-probe,ssh,2026-09-10,2026-09-10,2,ssh-probe
ip,74.132.43.27,ssh-probe,ssh,2026-09-12,2026-09-12,2,ssh-probe
ip,74.194.200.229,ssh-bruteforce,ssh,2026-09-10,2026-09-10,2,ssh-bruteforce
ip,75.155.35.127,ssh-probe,ssh,2026-09-10,2026-09-10,2,ssh-probe
ip,76.11.102.122,ssh-probe,ssh,2026-09-12,2026-09-12,2,ssh-probe
ip,77.222.108.168,ssh-probe,ssh,2026-09-12,2026-09-12,2,ssh-probe
ip,77.90.185.16,ssh-probe,ssh,2026-09-24,2026-09-24,2,ssh-probe
ip,77.94.109.110,ssh-probe,ssh,2026-09-13,2026-09-13,2,ssh-probe
ip,78.100.231.127,ssh-probe,ssh,2026-09-10,2026-09-10,2,ssh-probe
ip,78.96.85.159,ssh-bruteforce,ssh,2026-09-11,2026-09-11,2,ssh-bruteforce
ip,79.218.64.54,ssh-probe,ssh,2026-09-24,2026-09-24,2,ssh-probe
ip,79.72.3.119,ssh-bruteforce,ssh,2026-09-22,2026-09-22,2,ssh-bruteforce
ip,8.216.7.170,http-scan,ssh,2026-09-24,2026-09-24,2,http-scan
ip,8.222.210.33,ssh-probe,ssh,2026-09-24,2026-09-24,2,ssh-probe
ip,80.94.95.115,ssh-bruteforce,ssh,2026-09-10,2026-09-10,2,ssh-bruteforce
ip,81.172.77.43,ssh-probe,ssh,2026-09-13,2026-09-13,2,ssh-probe
ip,81.19.216.103,http-scan,ssh,2026-09-24,2026-09-24,2,http-scan
ip,81.19.216.120,ssh-probe,ssh,2026-09-24,2026-09-24,2,ssh-probe
ip,81.19.216.95,ssh-probe,ssh,2026-09-24,2026-09-24,2,ssh-probe
ip,81.19.216.99,http-scan,ssh,2026-09-24,2026-09-24,2,http-scan
ip,82.158.225.92,ssh-post-auth,ssh,2026-09-23,2026-09-23,2,ssh-post-auth
ip,82.39.154.137,ssh-bruteforce,ssh,2026-09-13,2026-09-13,2,ssh-bruteforce
ip,85.112.61.220,ssh-probe,ssh,2026-09-14,2026-09-14,2,ssh-probe
ip,85.117.101.89,ssh-probe,ssh,2026-09-10,2026-09-10,2,ssh-probe
ip,86.120.190.142,ssh-probe,ssh,2026-09-23,2026-09-23,2,ssh-probe
ip,87.236.176.186,ssh-probe,ssh,2026-09-11,2026-09-11,2,ssh-probe
ip,89.151.187.5,ssh-probe,ssh,2026-09-14,2026-09-14,2,ssh-probe
ip,91.196.231.18,ssh-probe,ssh,2026-09-14,2026-09-14,2,ssh-probe
ip,91.242.193.227,ssh-probe,ssh,2026-09-23,2026-09-23,2,ssh-probe
ip,91.242.196.137,ssh-probe,ssh,2026-09-23,2026-09-23,2,ssh-probe
ip,91.90.11.35,ssh-probe,ssh,2026-09-12,2026-09-12,2,ssh-probe
ip,92.218.123.85,ssh-bruteforce,ssh,2026-09-13,2026-09-13,2,ssh-bruteforce
ip,93.174.95.106,ssh-probe,ssh,2026-09-14,2026-09-14,2,ssh-probe
ip,94.131.219.185,ssh-probe,ssh,2026-09-11,2026-09-11,2,ssh-probe
ip,98.97.1.192,ssh-probe,ssh,2026-09-12,2026-09-12,2,ssh-probe
url,http://194.59.30.147:15653/s/amd64,payload-url,ssh-command,2026-09-23,2026-09-23,2,payload-url
url,http://194.59.30.147:15653/s/kal64,payload-url,ssh-command,2026-09-23,2026-09-23,2,payload-url
url,http://194.59.30.147:15653/s/kswpad,payload-url,ssh-command,2026-09-23,2026-09-23,2,payload-url
url,http://194.59.31.231:51346/b/amd64,payload-url,ssh-command,2026-09-12,2026-09-12,2,payload-url
url,http://194.59.31.231:51346/b/kal64,payload-url,ssh-command,2026-09-12,2026-09-12,2,payload-url
url,http://194.59.31.231:51346/b/kswpad,payload-url,ssh-command,2026-09-12,2026-09-12,2,payload-url
url,http://194.59.31.231:65416/b/amd64,payload-url,ssh-command,2026-09-13,2026-09-13,2,payload-url
url,http://194.59.31.231:65416/b/kal64,payload-url,ssh-command,2026-09-13,2026-09-13,2,payload-url
url,http://194.59.31.231:65416/b/kswpad,payload-url,ssh-command,2026-09-13,2026-09-13,2,payload-url
url,http://45.88.91.135:35146/s/amd64,payload-url,ssh-command,2026-09-23,2026-09-23,2,payload-url
url,http://45.88.91.135:35146/s/kal64,payload-url,ssh-command,2026-09-23,2026-09-23,2,payload-url
